19980902T,0.34,0.34,0.34,0.34,0.0
19961003T,0.4,0.4,0.4,0.4,0.0
19961010T,0.38,0.38,0.38,0.38,0.0
19971005T,0.39,0.39,0.39,0.39,0.0
19971012T,0.42,0.42,0.42,0.42,0.0
19981007T,0.37,0.37,0.37,0.37,0.0
19961107T,0.26,0.26,0.26,0.26,0.0
19971102T,0.37,0.37,0.37,0.37,0.0
19971109T,0.43,0.43,0.43,0.43,0.0
19981103T,0.52,0.52,0.52,0.52,0.0
19961205T,0.41,0.41,0.41,0.41,0.0
19961212T,0.4,0.4,0.4,0.4,0.0
19971207T,0.33,0.33,0.33,0.33,0.0
19981202T,0.37,0.37,0.37,0.37,0.0
19970102T,0.43,0.43,0.43,0.43,0.0
19970109T,0.36,0.36,0.36,0.36,0.0
19980104T,0.42,0.42,0.42,0.42,0.0
19980111T,0.37,0.37,0.37,0.37,0.0
19990106T,0.51,0.51,0.51,0.51,0.0
19970206T,0.47,0.47,0.47,0.47,0.0
19980201T,0.45,0.45,0.45,0.45,0.0
19980208T,0.44,0.44,0.44,0.44,0.0
19990203T,0.63,0.63,0.63,0.63,0.0
19970306T,0.43,0.43,0.43,0.43,0.0
19980301T,0.34,0.34,0.34,0.34,0.0
19980308T,0.36,0.36,0.36,0.36,0.0
19990303T,0.27,0.27,0.27,0.27,0.0
19970403T,0.29,0.29,0.29,0.29,0.0
19970410T,0.26,0.26,0.26,0.26,0.0
19980405T,0.31,0.31,0.31,0.31,0.0
19980412T,0.28,0.28,0.28,0.28,0.0
19970501T,0.27,0.27,0.27,0.27,0.0
19970508T,0.3,0.3,0.3,0.3,0.0
19980503T,0.41,0.41,0.41,0.41,0.0
19980510T,0.4,0.4,0.4,0.4,0.0
19990505T,0.4,0.4,0.4,0.4,0.0
19970605T,0.52,0.52,0.52,0.52,0.0
19970612T,0.49,0.49,0.49,0.49,0.0
19980607T,0.59,0.59,0.59,0.59,0.0
19990602T,0.52,0.52,0.52,0.52,0.0
19970703T,0.45,0.45,0.45,0.45,0.0
19970710T,0.49,0.49,0.49,0.49,0.0
19980705T,0.54,0.54,0.54,0.54,0.0
19980712T,0.53,0.53,0.53,0.53,0.0
19990707T,0.48,0.48,0.48,0.48,0.0
19970807T,0.49,0.49,0.49,0.49,0.0
19980802T,0.49,0.49,0.49,0.49,0.0
19980809T,0.47,0.47,0.47,0.47,0.0
19990804T,0.5,0.5,0.5,0.5,0.0
19970904T,0.37,0.37,0.37,0.37,0.0
19970911T,0.42,0.42,0.42,0.42,0.0
19980906T,0.4,0.4,0.4,0.4,0.0
19990901T,0.39,0.39,0.39,0.39,0.0
19971002T,0.38,0.38,0.38,0.38,0.0
19971009T,0.43,0.43,0.43,0.43,0.0
19981004T,0.43,0.43,0.43,0.43,0.0
19981011T,0.4,0.4,0.4,0.4,0.0
19991006T,0.41,0.41,0.41,0.41,0.0
19971106T,0.38,0.38,0.38,0.38,0.0
19981101T,0.45,0.45,0.45,0.45,0.0
19981108T,0.4,0.4,0.4,0.4,0.0
19991102T,0.4,0.4,0.4,0.4,0.0
19971204T,0.49,0.49,0.49,0.49,0.0
19971211T,0.46,0.46,0.46,0.46,0.0
19981206T,0.4,0.4,0.4,0.4,0.0
19981212T,0.41,0.41,0.41,0.41,0.0
19991207T,0.34,0.34,0.34,0.34,0.0
19980108T,0.42,0.42,0.42,0.42,0.0
19990104T,0.38,0.38,0.38,0.38,0.0
19990111T,0.31,0.31,0.31,0.31,0.0
20000106T,0.38,0.38,0.38,0.38,0.0
19980205T,0.3,0.3,0.3,0.3,0.0
19980212T,0.45,0.45,0.45,0.45,0.0
19990207T,0.42,0.42,0.42,0.42,0.0
20000202T,0.53,0.53,0.53,0.53,0.0
19980305T,0.53,0.53,0.53,0.53,0.0
19980312T,0.44,0.44,0.44,0.44,0.0
19990307T,0.4,0.4,0.4,0.4,0.0
20000302T,0.45,0.45,0.45,0.45,0.0
19980402T,0.46,0.46,0.46,0.46,0.0
